year,Scenario,solar_cf,wind_cf,solar_capacity,wind_capacity,solar_generation,wind_generation,renewables,emissions
2021,Policy Delay,0.106,0.187,1.0,1.0,0.106,0.187,0.292,35.2
2022,Policy Delay,0.115,0.195,1.02,1.02,0.117,0.198,0.316,39.7
2023,Policy Delay,0.102,0.222,1.04,1.04,0.106,0.231,0.337,40.1
2024,Policy Delay,0.107,0.227,1.061,1.061,0.113,0.241,0.355,40.038
2025,Policy Delay,0.112,0.233,1.082,1.082,0.121,0.252,0.373,39.902
2026,Policy Delay,0.117,0.239,1.104,1.104,0.129,0.264,0.392,39.21
2027,Policy Delay,0.122,0.245,1.126,1.126,0.137,0.276,0.413,39.017
2028,Policy Delay,0.127,0.251,1.149,1.149,0.146,0.288,0.435,39.348
2029,Policy Delay,0.133,0.257,1.172,1.172,0.156,0.301,0.457,39.294
2030,Policy Delay,0.139,0.26,1.195,1.195,0.166,0.311,0.477,38.982
2031,Policy Delay,0.145,0.26,1.219,1.219,0.177,0.317,0.494,38.771
2021,Current Trend,0.106,0.187,1.0,1.0,0.106,0.187,0.292,35.2
2022,Current Trend,0.115,0.195,1.05,1.05,0.121,0.204,0.325,39.7
2023,Current Trend,0.102,0.222,1.102,1.102,0.113,0.244,0.357,40.1
2024,Current Trend,0.107,0.227,1.158,1.158,0.124,0.263,0.387,39.683
2025,Current Trend,0.112,0.233,1.216,1.216,0.136,0.283,0.419,38.55
2026,Current Trend,0.117,0.239,1.276,1.276,0.149,0.305,0.454,38.857
2027,Current Trend,0.122,0.245,1.34,1.34,0.163,0.328,0.491,38.405
2028,Current Trend,0.127,0.251,1.407,1.407,0.179,0.353,0.532,37.596
2029,Current Trend,0.133,0.257,1.477,1.477,0.197,0.38,0.577,37.89
2030,Current Trend,0.139,0.26,1.551,1.551,0.216,0.403,0.619,37.281
2031,Current Trend,0.145,0.26,1.629,1.629,0.237,0.424,0.66,37.137
2021,Green Transition,0.106,0.187,1.0,1.0,0.106,0.187,0.292,35.2
2022,Green Transition,0.115,0.195,1.1,1.1,0.127,0.214,0.341,39.7
2023,Green Transition,0.102,0.222,1.21,1.21,0.124,0.268,0.392,40.1
2024,Green Transition,0.107,0.227,1.331,1.331,0.142,0.302,0.445,39.704
2025,Green Transition,0.112,0.233,1.464,1.464,0.164,0.341,0.505,39.112
2026,Green Transition,0.117,0.239,1.611,1.611,0.188,0.384,0.572,38.442
2027,Green Transition,0.122,0.245,1.772,1.772,0.216,0.434,0.65,37.302
2028,Green Transition,0.127,0.251,1.949,1.949,0.248,0.489,0.737,36.557
2029,Green Transition,0.133,0.257,2.144,2.144,0.286,0.551,0.837,36.076
2030,Green Transition,0.139,0.26,2.358,2.358,0.328,0.613,0.941,34.985
2031,Green Transition,0.145,0.26,2.594,2.594,0.377,0.674,1.052,34.32
